method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0204,7.528152757652062e-05,0.0108286332454806,0.2787878271164748,3.510435282647745e-05,0.0050494746097194,0.13000089878480783,-0.00025818670198619886,0.0159539499445258,-4.055813001882965,-5.8622193071455886e-05,12.459739623270858
CALG,0.0206,7.745502234628165e-05,0.0108674844328685,0.2272734810705485,3.611787008255679e-05,0.0050675912159268,0.10597936471874571,-0.0002551800498557938,0.0150333041876615,-4.313292765718465,-5.561806678616721e-05,11.811551585785711
CALG,0.0208,7.963370547120485e-05,0.0108934263295242,0.17630547307770678,3.71338067084101e-05,0.0050796881210044,0.08221259227077755,-0.00025236776642599545,0.0140614611824669,-4.555439314664741,-5.2808387401209744e-05,11.200834810178996
CALG,0.021,8.181512094762589e-05,0.0109070882144047,0.12656730008436184,3.815101745061056e-05,0.005086058762549,0.05901930130134205,-0.000249759420249393,0.0130417754391091,-4.7815212963393865,-5.020272091207922e-05,10.629732080887786
CALG,0.0212,8.399696417364655e-05,0.0109092270958859,0.07867297514745385,3.916842765579881e-05,0.0050870561393636,0.03668581080109713,-0.00024736387978739616,0.0119777474132924,-4.990851100098043,-4.780993308907411e-05,10.100227944710062
CALG,0.0214,8.617710271346946e-05,0.010900703803781,0.03211504220910718,4.018504295275754e-05,0.0050830816629824,0.01497549012407832,-0.0002451892857804894,0.0108730157095933,-5.178960448530314,-4.5638161898994833e-05,9.614142835658152
CALG,0.0216,8.835359239839358e-05,0.0108824596740744,-0.016526678959047508,4.119995676073185e-05,0.0050745742855838,-0.007706516962473185,-0.00024324302529948882,0.0097313486731317,-5.330501718363378,-4.3694791607290506e-05,9.173128374761754
CALG,0.0218,9.05246889722766e-05,0.0108554942685248,-0.06570422946503986,4.221235571973125e-05,0.0050620001104708,-0.0306383853727218,-0.00024153170761359588,0.0085566353122254,-5.446396162765957,-4.1986428694199e-05,8.778663897330018
CALG,0.022,9.268885556075468e-05,0.0108208444959866,-0.11397266842670761,4.322152317345895e-05,0.0050458426561829,-0.05314632810773492,-0.00024006114201459428,0.0073528755119867,-5.527648298465375,-4.051887972364443e-05,8.432054246071909
CALG,0.0222,9.48447663037394e-05,0.0107795654272292,-0.1600142479989958,4.4226840863227646e-05,0.0050265939102998,-0.07461586925584662,-0.0002388363177448921,0.0061241695161764,-5.575335327665579,-3.92971313130791e-05,8.13442882247157
CALG,0.0224,9.699130653319232e-05,0.0107327130218782,-0.20265690155406754,4.5227789010754416e-05,0.0050047462748817,-0.09450046517262706,-0.00023786138617769292,0.0048747066717647,-5.590597955410678,-3.832533234958413e-05,7.886741804588274
CALG,0.0226,9.912756990826388e-05,0.0106813289163836,-0.24088728178761662,4.6223944982388965e-05,0.0049807854729821,-0.11232758424970872,-0.00023713964539179289,0.0036087534470492,-5.574632509260228,-3.76067785970019e-05,7.689773317092924
CALG,0.0228,0.0001012528529376,0.0106264273568289,-0.27385868346919523,4.721498073473329e-05,0.0049551844553171,-0.1277024013539333,-0.00023667352728409807,0.0023306407496465,-5.52868424761085,-3.714389983598687e-05,7.544131203532074
CALG,0.023,0.0001033666473214,0.0105689843009087,-0.3008942641089909,4.820065924368566e-05,0.0049283983184337,-0.14030929964893737,-0.00023646458735049336,0.001044750584976,-5.454041727944026,-3.693824966644055e-05,7.450252941559766
CALG,0.0232,0.0001054686305423,0.0105099286602964,-0.3214860354533415,4.9180830116887786e-05,0.0049008602209589,-0.1499114003217845,-0.0002365134972551891,-0.0002444978913337,-5.352032096448364,-3.6990498095024194e-05,7.408407208012003
CALG,0.0234,0.0001075577755229,0.010445737643217,-0.33529014033931076,5.015501442032222e-05,0.00487092745811,-0.1563483601440874,-0.00023681682654459746,-0.0015165940589115,-5.22401715538674,-3.729721182632595e-05,7.588116664923174
CALG,0.0236,0.0001096299569197,0.0103609199465647,-0.3421189542047445,5.112128847471753e-05,0.004831376316614,-0.15953268834565473,-0.0002373578629899925,-0.0027051289264092,-5.071390063844435,-3.784167051444631e-05,8.47502677922548
CALG,0.0238,0.0001116821777321,0.0102611172798952,-0.3419305599111224,5.2078254755824616e-05,0.0047848375688417,-0.15944483864378628,-0.00023812023884299538,-0.0038118249159865,-4.895572530553733,-3.860749970401034e-05,9.356875490380263
CALG,0.024,0.0001137125348825,0.010151799251439,-0.33481614010210586,5.302502584380448e-05,0.0047338617349982,-0.15612733020351247,-0.00023908796250389497,-0.0048385627967017,-4.698012363841426,-3.957870262433216e-05,10.231231608476763
CALG,0.0242,0.0001157201624305,0.0100381515430096,-0.3209858148426282,5.396119794415233e-05,0.0046808669382258,-0.14967814362024331,-0.00024024544257189584,-0.0057873435885531,-4.480181252822021,-4.073968431721198e-05,11.096024744102383
CALG,0.0244,0.0001177051563648,0.0099249837934018,-0.300753425582237,5.488681581709842e-05,0.0046280959499275,-0.1402436255653501,-0.0002415775054170899,-0.0066602561631016,-4.243572665200426,-4.2075269236260815e-05,11.94943068982568
CALG,0.0246,0.0001196684848717,0.0098166569865816,-0.27452073138359917,5.58023309353492e-05,0.0045775823303237,-0.1280111193664863,-0.00024306940735718818,-0.0074594502839627,-3.9896997599751503,-4.357071340746477e-05,12.789793688403632
CALG,0.0248,0.0001216118878575,0.0097170297161524,-0.24276144168215538,5.67085546305246e-05,0.0045311253711615,-0.11320151936113942,-0.00024470684246438723,-0.0081871147416517,-3.720093227380631,-4.521171217805597e-05,13.615573461657824
