method,time,ax_raw_m_s2,ux_m,vx_m_s,ax_m_s2,ay_raw_m_s2,uy_m,vy_m_s,ay_m_s2,az_raw_m_s2,uz_m,vz_m_s,az_m_s2
chrono,4.69,-0.0006674005558910588,-0.01938009738457136,-0.0048113555648042,0.00010896845755907051,-0.00012142686447635294,0.06862232783195568,0.01464211736882,4.5986002081021834e-05,-0.0018812809348918824,4.7307609175616465e-06,-1.0723540685122804e-06,0.0002307866011488009
chrono,4.6905,0.0008027851043389412,-0.019382502861657547,-0.004810954172252,0.0001216483059896903,6.11469350115822e-05,0.0686296489059269,0.0146421479422875,4.8452979474226995e-05,-0.0021961131886411764,4.729675712230229e-06,-2.1704106628329107e-06,0.00026704231807093
chrono,4.691,-0.00017245225262011764,-0.01938490838185658,-0.0048110403983783,-7.075911414660902e-07,-1.455701913562309e-05,0.06863696997625882,0.014642140663778,-2.5016691622780355e-06,0.003815745163400353,4.729544443189663e-06,-2.62538081132689e-07,0.0002919556880007033
chrono,4.6915,0.0011135966876498825,-0.019387313623656754,-0.0048104836000345,0.00013776254978012644,0.00025876563197705884,0.06864429111128209,0.014642270046594,3.4113721636892695e-05,-0.001270723712756706,4.729095493220908e-06,-8.978999375110693e-07,0.0003319955118202643
chrono,4.692,-0.000215313107766,-0.01938971891928498,-0.0048105912565884,0.00010925563708971898,8.577618910654436e-05,0.06865161226774938,0.0146423129346885,2.9303891825191113e-05,0.0018328394273010589,4.7291047531089775e-06,1.8519776139515883e-08,0.0003451092255464193
chrono,4.6925,-0.0010762239435450588,-0.01939212448396921,-0.0048111293685601,0.0003105648814447204,-0.0006536572436402352,0.06865893326080239,0.0146419861060667,8.679351419314234e-05,-0.0007639236609135294,4.7289230320818186e-06,-3.634420543172786e-07,0.00034579958862066023
chrono,4.6930000000000005,0.006178157471105412,-0.01939452850411416,-0.0048080402898246,0.00028187577533199154,0.0017864441902641177,0.06866625470046647,0.0146428793281618,9.218716137575922e-05,-0.0009726333041102353,4.728498152728633e-06,-8.497587063724334e-07,0.0002661104333350161
chrono,4.6935,0.0010234953005764707,-0.019396932268385125,-0.0048075285421743,0.00034049787569099014,0.0005349630406857647,0.0686735762738713,0.0146431468096822,0.00010544371658024417,-0.0007905876650854117,4.727875626459175e-06,-1.245052538915173e-06,0.00030381974595156987
chrono,4.694,-0.0017856466485962352,-0.019399336479067997,-0.0048084213654986,0.00040573455701790374,-0.00028343653954023527,0.06868089777641709,0.0146430050914124,0.00013083528546083196,-0.001957837011924235,4.726763640936737e-06,-2.2239710448773256e-06,0.0003828035657312916
chrono,4.6945,-0.002204286705073294,-0.01940174124082239,-0.0048095235088511,0.00039807255360069287,-0.0007365485664662353,0.06868821909482567,0.0146426368171292,0.00012161098044652492,0.000789939481318706,4.725849140284628e-06,-1.829001304217954e-06,0.00037308387860342354
chrono,4.695,-0.006686265847818823,-0.019404147674143113,-0.004812866641775,0.0004976585499149138,-0.002148151883802353,0.06869553987619628,0.0146415627411873,0.00014010877486848189,0.0008605558627230588,4.7251497785982e-06,-1.3987233728563833e-06,0.00045673652883823277
chrono,4.6955,0.0024306458111508235,-0.019406553499802803,-0.0048116513188695,0.00042573391475030255,0.0008736111288951765,0.06870286087596958,0.0146419995467517,0.00012286438815636792,-0.0009496981662069411,4.72421299237022e-06,-1.8735724559598856e-06,0.00037350633119314524
chrono,4.696,0.003975393939708471,-0.0194089583316136,-0.0048096636218996,0.0004183314803045896,0.0012969661180797646,0.06871018219998457,0.0146426480298108,0.00012782453548750995,0.0023373346368891763,4.7238605398014625e-06,-7.049051375152943e-07,0.00039108413653292135
chrono,4.6965,-0.0005002987236931765,-0.01941136328849913,-0.0048099137712615,0.0002676517764207273,-0.00036904023222764706,0.06871750343173941,0.0146424635096946,8.731854971270035e-05,0.002597065114470706,4.724157353511322e-06,5.936274197200853e-07,0.0003892752002436674
chrono,4.697,-0.0008633819414554118,-0.01941376846123033,-0.0048103454622322,0.00018449403917746764,-0.00012286318913141178,0.06872482463277838,0.0146424020781001,5.7723842830817985e-05,0.002528535267636706,4.725086301038091e-06,1.8578950535384504e-06,0.00039755608971893576
chrono,4.6975,0.0025230281114921177,-0.019416173003204307,-0.0048090839481764,0.00012140707913992957,0.0006655947914861177,0.06873214600021618,0.0146427348754958,4.744430715045644e-05,0.0011720674317667059,4.726308265422802e-06,2.443928769421861e-06,0.0004044848530787664
chrono,4.698,-0.0017096848275317646,-0.019418577972599715,-0.0048099387905902,4.3388811662426e-05,-0.0002888796164494118,0.06873946729543398,0.0146425904356876,1.789001600609776e-05,0.0005390114375027059,4.727664982666888e-06,2.713434488173229e-06,0.00038305302295247375
chrono,4.6985,-0.0021952028133305885,-0.019420983490795574,-0.0048110363919969,-0.00016370444206538173,-0.00037812165834200004,0.0687467884961214,0.0146424013748584,-4.915192336888646e-05,0.004750010936437295,4.730209202645084e-06,5.08843995639189e-06,0.0003378509412836904
chrono,4.699,-0.0017945213878435295,-0.01942338945762201,-0.0048119336526908,-6.614992737850081e-05,-0.0005958365241991764,0.06875410954784969,0.0146421034565963,-1.6465114697790334e-05,-0.0002537311685509412,4.732689989831142e-06,4.961574372116415e-06,0.0003350652190166087
chrono,4.6995000000000005,0.0006842217238276471,-0.01942579525339294,-0.0048115915418289,-1.672312010165088e-06,0.0004154341348802353,0.06876143070343657,0.0146423111736638,4.893002919130493e-06,0.00019306184531364706,4.735219042478529e-06,5.058105294773297e-06,0.000361970925952821
chrono,4.7,0.0019196054132341175,-0.019428200569262533,-0.0048106317391223,0.0001181861176192151,0.0006437953544417646,0.06876875201997226,0.014642633071341,3.4594366652335664e-05,0.0014038009158408235,4.738099045354876e-06,5.76000575269372e-06,0.000298361146480798
chrono,4.7005,0.0008430964092336471,-0.019430605674357948,-0.0048102101909176,0.000156747541967921,0.00045232646060635294,0.0687760734495895,0.0146428592345713,4.159078097226966e-05,0.00047840482444811767,4.741098649437335e-06,5.99920816491782e-06,0.0004566751833514637
chrono,4.7010000000000005,0.0015564153800477648,-0.019433010390349503,-0.0048094319832276,0.0001434696548832811,0.00040752895691011765,0.06878339498108907,0.0146430629990497,3.314908146389248e-05,0.0003652217034457647,4.744189558945655e-06,6.181819016640718e-06,0.0005670752319127262
chrono,4.7015,0.002945174121600588,-0.019435414370047588,-0.0048079593961668,0.00010400506242904295,0.0003817398620936471,0.06879071660802358,0.0146432538689808,2.068349759473838e-05,0.0015125034217772942,4.74765859430942e-06,6.938070727529411e-06,0.00045782207040455126
chrono,4.702,-0.0015911850319335293,-0.019437818747541913,-0.0048087549886828,8.55421261239009e-05,-0.00047145167280705883,0.06879803811709509,0.0146430181431444,1.9546553247297918e-05,0.001244413138597059,4.7514387329578344e-06,7.560277296827969e-06,0.0005065321478523992
chrono,4.7025,0.0033725522687417645,-0.019440222281898345,-0.0048070687125484,0.00019945367767137007,0.001105116090948706,0.06880535990244577,0.0146435707011899,5.6407678531738016e-05,-0.00048416394562364706,4.755097830619842e-06,7.318195324016143e-06,0.0005245082921295383
chrono,4.703,0.00019082780354741176,-0.019442625768547717,-0.0048069732986466,0.00020851610168169432,0.00016901243143258824,0.06881268173004948,0.0146436552074056,6.332046434069926e-05,-0.002751667525587059,4.758069011400453e-06,5.942361561222598e-06,0.0005688761743617363
chrono,4.7035,-0.002420516472705765,-0.019445029860326146,-0.004808183556883,-5.394921984909188e-05,-0.000741676220328,0.06882000337223407,0.0146432843692954,-1.1071709873989394e-05,0.0005930671962112941,4.7611884589801184e-06,6.238895159328252e-06,0.0006091964363478999
chrono,4.704,-4.746949609665769e-05,-0.019447433963971972,-0.004808207291631,-0.00010619110981400149,-7.944126259884194e-05,0.06882732499455838,0.0146432446486641,-2.9062745204844485e-05,0.000984183645967647,4.764553952471274e-06,6.730986982312078e-06,0.0005837835433672628
chrono,4.7045,0.0013550254151921176,-0.019449837728861552,-0.0048075297789234,2.8365074164403937e-06,0.00037047907914435297,0.06883464670950248,0.0146434298882037,9.53051572205652e-06,-0.001235837014834353,4.767610486708721e-06,6.1130684748948765e-06,0.0006675307848034896
chrono,4.705,0.0008635118748183529,-0.019452241277872928,-0.004807098022986,0.00019023584514195544,-0.00015375315965258823,0.06884196838600828,0.0146433530116239,7.52322061451756e-05,0.003242211128823882,4.7714775737283745e-06,7.734174039306874e-06,0.0006446237569732456
chrono,4.7055,-0.002136009140884,-0.019454645360886702,-0.0048081660275565,0.00040882541060403583,-0.0007418457080902353,0.06884928987705272,0.0146429820887698,0.0001379371412913363,-0.0013928089109564706,4.774996458520289e-06,7.037769583828614e-06,0.0006305834689492858
chrono,4.706,0.0037895778843423534,-0.01945704849650598,-0.0048062712386143,0.000429908582392713,0.0013140678307342352,0.06885661169661408,0.0146436391226852,0.00014341956829864763,0.0010197323427030588,4.778770276397878e-06,7.547635755180175e-06,0.0006111613731635326
chrono,4.7065,-0.0016469175874638824,-0.019459452043854797,-0.004807094697408,0.0003598910077998981,4.361897273245329e-05,0.06886393352708017,0.0146436609321716,0.00012129671691050702,0.000491968793470353,4.782667086473836e-06,7.793620151915375e-06,0.0005854448402930707
chrono,4.707,-0.001780208296225647,-0.01946185603625561,-0.0048079848015562,0.00045993269625926685,-0.0007200218173848236,0.06887125517754081,0.0146433009212629,0.00014893221024968922,0.0004686437282238824,4.78668105748185e-06,8.027942016027372e-06,0.0004516236335955699
chrono,4.7075000000000005,-0.0014573643486812942,-0.019464260392997312,-0.0048087134837305,0.00046551801647335864,-0.0002627890960307059,0.0688785767623041,0.0146431695267148,0.0001271070712525185,0.001677908561652706,4.791114505630277e-06,8.866896296853739e-06,0.00034682068548015806
chrono,4.708,-0.0004607086246402353,-0.019466664864916328,-0.0048089438380428,0.00039360445351152785,-0.0003570383461892941,0.06888589825780791,0.0146429910075418,9.414106004535926e-05,-0.0010002843771609413,4.795297882684414e-06,8.36675410827325e-06,0.00035203763881463154
chrono,4.7085,-0.007373438849020941,-0.01946907118019514,-0.0048126305574673,0.0005270426930135995,-0.002124899667753059,0.06889321922208677,0.0146419285577079,0.00012617597967210816,-0.002137067558334353,4.798946992848967e-06,7.298220329106023e-06,0.0003056562561123704
chrono,4.7090000000000005,0.001985000190567412,-0.01947147699922358,-0.004811638057372,0.0005958362372563199,0.0005516664957101176,0.0689005403242822,0.0146422043909557,0.00014270499216001922,-0.0015056439687764706,4.802219692021326e-06,6.545398344717773e-06,0.00015016226211948377
chrono,4.7095,0.002978818350543647,-0.019473882073547943,-0.0048101486481968,0.0006635787078023142,0.0009719713453955294,0.06890786166947058,0.0146426903766284,0.0001639829051526419,0.00024122358675494117,4.805552697090373e-06,6.666010138095297e-06,0.0001441816632375469
