case_id,resolution,curvature_a,apex_x0,apex_y0,expected_gap,calg_gap,linear_gap,calg_error,linear_error,calg_elapsed_s,linear_elapsed_s,calg_candidate_pairs,linear_candidate_pairs,calg_contacts,linear_contacts,calg_better,error_ratio_linear_over_calg,notes
47,6,0.8412162402628487,0.07566791595623426,0.10165883412321491,0.03969539196956644,0.03969539196956644,0.053205452703908716,0.0,0.013510060734342279,2.0100014808122069e-07,8.065299994086672e-05,1,72,1,1,True,1351006073434.2278,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
48,4,0.9877123101910706,0.1838487242034551,0.03694934558818662,0.04993117911791126,0.04993117911791126,0.08466468257126564,0.0,0.034733503453354374,1.969999630091479e-07,5.953100003353029e-05,1,32,1,1,True,3473350345335.4375,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
49,12,0.7612393623152373,-0.021284999233968878,0.02254926931055112,0.06266345918475544,0.06266345918475544,0.06339540661883512,0.0,0.0007319474340796855,3.9199994716909714e-07,0.00019218399984310963,1,288,1,1,True,73194743407.96855,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
50,8,0.866654515967573,0.07951393050897415,-0.05677688461422388,0.0413885856257442,0.0413885856257442,0.04966173876948652,0.0,0.008273153143742322,1.9599997358454857e-07,0.00010921900002358598,1,128,1,1,True,827315314374.2322,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
51,7,0.6594081905802965,-0.002611809689500028,-0.03856327883044607,0.058764027972341384,0.058764027972341384,0.07694159910375056,0.0,0.01817757113140918,2.0499987840594258e-07,9.139999997387349e-05,1,98,1,1,True,1817757113140.918,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
52,7,0.9290594772102179,-0.08003749155412213,-0.018604317618378656,0.05575300426397267,0.05575300426397267,0.06263896592668876,0.0,0.006885961662716086,2.0600009520421736e-07,9.079100004782958e-05,1,98,1,1,True,688596166271.6086,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
53,6,1.0698002222491536,0.10891521514555498,0.11544531850396156,0.054104631206512446,0.054104631206512446,0.08105305462638157,0.0,0.026948423419869125,3.65999994755839e-07,0.00011327699985486106,1,72,1,1,True,2694842341986.9126,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
54,12,1.0692346061212523,-0.01116944771468961,-0.05097048733703775,0.044840812299940906,0.044840812299940906,0.04775206776748548,0.0,0.002911255467544574,2.1200003175181337e-07,0.00017839099996308505,1,288,1,1,True,291125546754.4574,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
55,7,0.8334206635686132,-0.005501154226295729,0.035752906307868176,0.04956533148970549,0.04956533148970549,0.05984452631017706,0.0,0.010279194820471571,1.660000634728931e-07,9.351899984721967e-05,1,98,1,1,True,1027919482047.1571,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
56,10,0.8947928484679888,-0.059425894116961996,0.011239366863329691,0.06963282019223736,0.06963282019223736,0.07290575791348052,0.0,0.003272937721243152,1.7999991541728377e-07,0.00014989300007073325,1,200,1,1,True,327293772124.3152,primitive-level randomized quadratic sub-cell valley; curved jet is exact for quadratic geometry
