method,time,ux,vx,ax,uy,vy,ay,uz,vz,az,gap,contact_force
CALG,0.0138,1.5434569382050123e-05,0.008316776127011,0.40368731263176005,7.1972579031368e-06,0.0038781763991859,0.18824248538020322,-0.0003786038872824887,0.0074433466627713,6.181322925470965,-0.0001789980959011,36.29256089302199
CALG,0.014,1.708839139230589e-05,0.0082691142030169,0.31452167870477943,7.968447771782017e-06,0.003855951279025,0.14666386743580676,-0.00037686519638589766,0.0086934715722051,5.964931069822811,-0.0001772598134065,35.98526972528211
CALG,0.0142,1.8730479089609783e-05,0.0082104429788682,0.24259457802456358,8.734165840400265e-06,0.0038285924378912,0.1131237095597368,-0.000374882263692089,0.0099146819612071,5.746634626425559,-0.0001752773273342,35.6310270051701
CALG,0.0144,2.036000435839957e-05,0.0081476311898549,0.1873805440969339,9.494025952370975e-06,0.0037993028196519,0.08737698270165292,-0.0003726620178930995,0.0111012489411951,5.526444325056412,-0.0001730575652491,35.23058229144071
CALG,0.0146,2.197735606772333e-05,0.008086763754034,0.1480396940167189,1.0248209440344436e-05,0.0037709198681963,0.06903204303092092,-0.0003702124776282928,0.0122477227576002,5.304408755065635,-0.0001706085449946,34.78495481739628
CALG,0.0148,2.358397154619829e-05,0.0080330829638138,0.12347196193683423,1.099738654168625e-05,0.0037458881046208,0.05757592141857099,-0.0003675426894319961,0.0133489639133339,5.080606229545173,-0.0001679393127302,34.295413888056665
CALG,0.015,2.518216161012665e-05,0.0079909562531526,0.11237101235464778,1.1742634807687669e-05,0.0037262440968266,0.05239946361560458,-0.00036466266073109654,0.0144001679256339,4.855136932471888,-0.0001650598759882,33.7634572804274
CALG,0.0152,2.6774934007864348e-05,0.0079638682773269,0.11713519565337253,1.248535677445678e-05,0.0037136127662552,0.05462103877265346,-0.00036158328909259574,0.0153968840762864,4.613882522232299,-0.0001619811329529,33.190789413297644
CALG,0.0154,2.8365819628561884e-05,0.0079544347366597,0.13664407393724418,1.3227198922619032e-05,0.0037092138339986,0.06371817811843589,-0.00035831628883339905,0.0163350285966462,4.353202202323503,-0.000158714799077,32.57930056905611
CALG,0.0156,2.9958705268770536e-05,0.0079644351641973,0.16815866717061145,1.3969973695217295e-05,0.0037138771099442,0.07841367428679454,-0.0003548741160070007,0.0172108927902099,4.074571024156112,-0.000155273332054,31.931047989345032
CALG,0.0158,3.1557676168497695e-05,0.007994861774246,0.20894939999237921,1.4715586070947195e-05,0.0037280652712216,0.09743470538333905,-0.0003512698926680935,0.0180211466377001,3.7795263975142657,-0.0001516698560504,31.24823925659168
CALG,0.016,3.3166870940182225e-05,0.0080459814267416,0.2563604044851838,1.5465965916422464e-05,0.0037519027566625,0.11954281985915478,-0.0003475173312066926,0.0187628384538763,3.4696498635825583,-0.0001479180859932,30.53321803174966
CALG,0.0162,3.4790350930902214e-05,0.0081174077933221,0.3078648555908718,1.6223007068966178e-05,0.0037852094183932,0.14355973983880577,-0.00034363065942499826,0.019433391173247,3.146550486814108,-0.0001440322525896,29.7884519560312
CALG,0.0164,3.6431985494161934e-05,0.0082081809057283,0.36111107463139064,1.6988513837704056e-05,0.0038275376158627,0.1683888595451982,-0.00033962454691609245,0.0200305958351793,2.8118499766602176,-0.0001400270286401,29.01652234082904
CALG,0.0166,3.809535411411491e-05,0.0083168514162929,0.4139593798970635,1.776415536348941e-05,0.0038782115071546,0.19303242901109524,-0.00033551403319728723,0.0205526028194763,2.4671695958815736,-0.0001359174571013,28.22011516184395
CALG,0.0168,3.9783665828532766e-05,0.0084415670941492,0.46450987950864236,1.855142804529225e-05,0.003936367382831,0.21660451410353568,-0.0003313144579404903,0.0209979113533322,2.114118863055121,-0.0001317188812424,27.402012832736084
