method,time,ux_m,vx_m_s,ax_m_s2,uy_m,vy_m_s,ay_m_s2,uz_m,vz_m_s,az_m_s2,gap_m,contact_force_N
calg,0.253,0.0132023703997195,0.0989347732355944,0.2998942388207892,0.0061563664231866,0.0461340424175837,0.13984298019873118,0.0010268858020061056,0.0201999304832493,0.21767428540168565,-0.0001091100872657,22.637619904118957
calg,0.2532,0.0132221690405958,0.0989947306388516,0.29966261760285845,0.0061655986810481,0.0461620010138856,0.1397349734510187,0.0010309334541846044,0.0202436102870742,0.21793577752086682,-0.0001091054341022,22.63803900530082
calg,0.2534,0.0132419796632386,0.0990546417942404,0.2994307722971368,0.0061748365260992,0.0461899380444523,0.1396268622094537,0.001034989851213905,0.020287341460372,0.21819717885315368,-0.0001091007554718,22.638454901281133
calg,0.2536,0.0132618022583878,0.0991145066508281,0.29919870266455595,0.0061840799540218,0.0462178534855335,0.13951864636255612,0.0010390550033109042,0.0203311237173182,0.21845848914282132,-0.0001090960515595,22.63886763113176
calg,0.2538,0.0132816368167731,0.0991743251572924,0.2989664084746214,0.0061933289604931,0.0462457473131972,0.13941032580284482,0.0010431289206355998,0.0203749567766267,0.21871970832644205,-0.0001090913226046,22.63927724517347
calg,0.254,0.0133014833291139,0.0992340972619396,0.2987338895060975,0.0062025835411853,0.0462736195033382,0.13930190042715584,0.0010472116132932002,0.0204188403625386,0.21898083653129666,-0.0001090865689003,22.639683804913577
calg,0.2542,0.0133213417861192,0.0992938229127324,0.29850114554752233,0.006211843691766,0.0463014700316912,0.13919337013688343,0.0010513030913349014,0.0204627742057759,0.2192418740733349,-0.000109081790792,22.640087382687508
calg,0.2544,0.0133412121784872,0.0993535020573147,0.29826817639841025,0.0062211094078979,0.0463292988738421,0.13908473483853925,0.0010554033647595107,0.0205067580444794,0.21950282145332684,-0.0001090769886761,22.640488061465025
calg,0.2546,0.0133610944969062,0.0994131346430347,0.29803498186955946,0.0062303806852387,0.0463571060052389,0.13897599444389705,0.0010595124435155007,0.020550791625122,0.21976367935374075,-0.000109072162999,22.640885934566057
calg,0.2548,0.0133809887320532,0.0994727206169779,0.29780156178427136,0.0062396575194409,0.0463848914012073,0.1388671488705611,0.0010636303375020084,0.0205948747033759,0.22002444863342394,-0.0001090673142544,22.641281105186717
calg,0.255,0.0134008948745951,0.0995322599259897,0.2975679159784879,0.0062489399061525,0.0464126550369607,0.13875819804202977,0.001067757056571611,0.0206390070449658,0.22028513032335742,-0.0001090624429824,22.64167368618909
calg,0.2552,0.013420812915188,0.0995917525167048,0.2973340443017471,0.0062582278410164,0.0464403968876147,0.13864914188814104,0.0010718926105316023,0.020683188426473,0.22054572562043182,-0.0001090575497673,22.64206379958765
calg,0.2554,0.0134407428444772,0.0996511983355741,0.2970999466176402,0.0062675213196704,0.0464681169281987,0.1385399803452866,0.0010760370091480037,0.0207274186361073,0.2208062358813594,-0.0001090526352351,22.642451576166
calg,0.2556,0.0134606846530972,0.099710597328901,0.29686562280444956,0.0062768203377474,0.0464958151336737,0.1384307133567082,0.0010801902621459109,0.0207716974744196,0.22106666261565755,-0.0001090477000511,22.642837154848547
